scope,held_out_case,method,n,accuracy,balanced_accuracy,material_recall,false_negative_count,false_negative_rate,true_negative,false_positive,false_negative,true_positive
held_out_case,210129,majority,17,0.17647058823529413,0.5,0.0,14,1.0,3,0,14,0
held_out_case,210129,gamma_threshold,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210129,logistic_control,17,0.7058823529411765,0.8214285714285714,0.6428571428571429,5,0.35714285714285715,3,0,5,9
held_out_case,210129,logistic_full,17,0.17647058823529413,0.5,0.0,14,1.0,3,0,14,0
held_out_case,210129,tree_control,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210129,tree_full,17,0.29411764705882354,0.5714285714285714,0.14285714285714285,12,0.8571428571428571,3,0,12,2
held_out_case,210129,gradient_boosting_control,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210129,gradient_boosting_full,17,0.47058823529411764,0.6785714285714286,0.35714285714285715,9,0.6428571428571429,3,0,9,5
held_out_case,210202,majority,17,0.17647058823529413,0.5,0.0,14,1.0,3,0,14,0
held_out_case,210202,gamma_threshold,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210202,logistic_control,17,0.7058823529411765,0.8214285714285714,0.6428571428571429,5,0.35714285714285715,3,0,5,9
held_out_case,210202,logistic_full,17,0.8235294117647058,0.5,1.0,0,0.0,0,3,0,14
held_out_case,210202,tree_control,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210202,tree_full,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210202,gradient_boosting_control,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210202,gradient_boosting_full,17,0.9411764705882353,0.9642857142857143,0.9285714285714286,1,0.07142857142857142,3,0,1,13
held_out_case,210310,majority,17,0.29411764705882354,0.5,1.0,0,0.0,0,12,0,5
held_out_case,210310,gamma_threshold,17,0.5294117647058824,0.6666666666666666,1.0,0,0.0,4,8,0,5
held_out_case,210310,logistic_control,17,0.7058823529411765,0.7916666666666667,1.0,0,0.0,7,5,0,5
held_out_case,210310,logistic_full,17,0.29411764705882354,0.5,1.0,0,0.0,0,12,0,5
held_out_case,210310,tree_control,17,0.5294117647058824,0.6666666666666666,1.0,0,0.0,4,8,0,5
held_out_case,210310,tree_full,17,0.5294117647058824,0.6666666666666666,1.0,0,0.0,4,8,0,5
held_out_case,210310,gradient_boosting_control,17,0.5294117647058824,0.6666666666666666,1.0,0,0.0,4,8,0,5
held_out_case,210310,gradient_boosting_full,17,0.5294117647058824,0.6666666666666666,1.0,0,0.0,4,8,0,5
held_out_case,210323,majority,17,0.23529411764705882,0.5,0.0,13,1.0,4,0,13,0
held_out_case,210323,gamma_threshold,17,1.0,1.0,1.0,0,0.0,4,0,0,13
held_out_case,210323,logistic_control,17,0.7647058823529411,0.8461538461538461,0.6923076923076923,4,0.3076923076923077,4,0,4,9
held_out_case,210323,logistic_full,17,0.23529411764705882,0.5,0.0,13,1.0,4,0,13,0
held_out_case,210323,tree_control,17,0.5294117647058824,0.6923076923076923,0.38461538461538464,8,0.6153846153846154,4,0,8,5
held_out_case,210323,tree_full,17,0.35294117647058826,0.5769230769230769,0.15384615384615385,11,0.8461538461538461,4,0,11,2
held_out_case,210323,gradient_boosting_control,17,0.5294117647058824,0.6923076923076923,0.38461538461538464,8,0.6153846153846154,4,0,8,5
held_out_case,210323,gradient_boosting_full,17,0.5294117647058824,0.6923076923076923,0.38461538461538464,8,0.6153846153846154,4,0,8,5
held_out_case,210330,majority,17,0.23529411764705882,0.5,0.0,13,1.0,4,0,13,0
held_out_case,210330,gamma_threshold,17,1.0,1.0,1.0,0,0.0,4,0,0,13
